CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000090A,W-123,456+0.308,456+0.787,I-90,15,0.479,8317.5,3984.0825,,YELLOWSTONE,,I-90,Interstate,3.0,2772.5,1328.0275
C000090A,W-123,456+0.787,462+0.045,I-90,103,5.143,8317.5,42776.9025,,YELLOWSTONE,,I-90,Interstate,20.6,403.76213592233006,2076.548665048543
C000090A,W-124,248+0.716,256+0.019,I-90,58,7.268,10349.0,75216.53199999999,,JEFFERSON,,I-90,Interstate,11.6,892.1551724137931,6484.183793103448
C000090A,W-137,029+0.777,033+0.158,I-90,104,3.368,7021.0,23646.728,,MINERAL,,I-90,Interstate,20.8,337.5480769230769,1136.861923076923
C000090A,W-137,026+0.394,029+0.777,I-90,109,3.399,7021.0,23864.379,,MINERAL,,I-90,Interstate,21.8,322.0642201834862,1094.6962844036698
C000090A,W-137,025+0.133,026+0.394,I-90,29,1.261,8111.0,10227.971,,MINERAL,,I-90,Interstate,5.8,1398.448275862069,1763.443275862069
C000090A,W-146,005+0.491,010+0.301,I-90,73,4.876,7751.25,37795.095,,MINERAL,,I-90,Interstate,14.6,530.9075342465753,2588.7051369863016
C000090A,W-146,000+0.139,005+0.491,I-90,162,5.176,7751.25,40120.47,,MINERAL,,I-90,Interstate,32.4,239.23611111111111,1238.2861111111113
C000090A,W-146,000+0.000,000+0.139,I-90,5,0.139,7751.25,1077.4237500000002,,MINERAL,,I-90,Interstate,1.0,7751.25,1077.4237500000002
C000090A,W-203,437+0.234,443+0.138,I-90,189,5.9,24793.0,146278.7,,YELLOWSTONE,,I-90,Interstate,37.8,655.899470899471,3869.806878306879
